Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,29.6,0.1266,0.1307,0.0967,0.1261,0.1264,0.1237,0.1441,0.1229,0.1251,0.1283,0.1361,0.0924,0.1311,0.0945,0.1363,0.1208,0.1038,0.1434,0.1364,0.0949,0.1303,0.1351,0.1047,0.1011,0.1311,0.137,0.1318,0.1199,0.121,0.1315,0.0947,0.0996,0.1312,0.1133,0.1092,0.0953,0.1218,0.1211,0.1096,0.1317,0.1285,0.1262,0.1128,0.1322,0.1206,0.1143,0.1304,0.1,0.1217,0.1295,0.1296,0.1242,0.112,0.124,0.1233,0.137,0.1084,0.1301,0.1005,0.0921,0.1205,0.1125,0.1323,0.1345,0.1366,0.1374,0.1313,0.1393,0.1385,0.1095,0.0971,0.0939,0.1294,0.0942,0.1315,0.125,0.1068,0.1303,0.1336,0.1454,0.1134,0.1372,0.099,0.0967,0.1357,0.1018,0.1025,0.1307,0.1381,0.1442,0.1206,0.1315,0.1099,0.118,0.097,0.0912
1193.584,30,0.1363,0.1372,0.0985,0.1329,0.1346,0.1232,0.1507,0.1268,0.1284,0.133,0.1409,0.0927,0.1442,0.0935,0.1403,0.1224,0.1098,0.1417,0.1382,0.095,0.1267,0.1388,0.1048,0.1009,0.1312,0.1462,0.1384,0.125,0.1238,0.1339,0.094,0.0995,0.1405,0.1187,0.1108,0.095,0.128,0.1299,0.1113,0.1399,0.1352,0.1358,0.1179,0.1451,0.1273,0.116,0.1331,0.0994,0.1227,0.1402,0.1395,0.1335,0.1167,0.123,0.1307,0.1423,0.1131,0.1389,0.0997,0.0912,0.1208,0.1146,0.1404,0.142,0.1398,0.1435,0.1417,0.1453,0.1446,0.1096,0.0975,0.0923,0.1277,0.0942,0.1403,0.1212,0.1081,0.1299,0.1411,0.1414,0.1176,0.1444,0.098,0.0924,0.1499,0.103,0.1047,0.1435,0.1477,0.1504,0.1266,0.1384,0.1102,0.1212,0.0965,0.0909
2395.265,30,0.1475,0.1488,0.0996,0.1428,0.1461,0.1277,0.1632,0.1327,0.1378,0.1419,0.1508,0.0944,0.1591,0.0969,0.1541,0.134,0.1071,0.1547,0.1521,0.0984,0.1294,0.1499,0.1074,0.1011,0.1441,0.1615,0.1519,0.1349,0.1326,0.1442,0.0971,0.1014,0.1507,0.125,0.1152,0.0971,0.1382,0.1412,0.1157,0.1527,0.1437,0.1477,0.1215,0.1595,0.1339,0.1182,0.1418,0.1014,0.1269,0.1532,0.1504,0.1421,0.1223,0.1273,0.1404,0.1515,0.1116,0.148,0.0994,0.0911,0.1266,0.1165,0.1508,0.1532,0.1528,0.155,0.1542,0.1569,0.1504,0.1135,0.0971,0.0921,0.1179,0.0941,0.1638,0.1265,0.1101,0.1376,0.1511,0.1519,0.1193,0.1561,0.0965,0.0917,0.1602,0.1037,0.1072,0.1532,0.1584,0.1603,0.1329,0.1457,0.1117,0.1254,0.0963,0.0909
3595.168,30.1,0.16,0.1605,0.0993,0.1523,0.1541,0.1293,0.1786,0.14,0.1453,0.1508,0.1611,0.095,0.1722,0.0976,0.1647,0.1419,0.1082,0.165,0.1634,0.0988,0.1303,0.159,0.109,0.1016,0.1527,0.1755,0.1619,0.1424,0.1384,0.1538,0.0984,0.1031,0.1632,0.1324,0.119,0.0983,0.1491,0.1519,0.1195,0.1671,0.1556,0.1628,0.1263,0.1758,0.1437,0.1221,0.1539,0.1031,0.1321,0.1684,0.1643,0.1554,0.1294,0.1317,0.1506,0.162,0.1142,0.1594,0.0983,0.091,0.1334,0.1186,0.1621,0.1639,0.1673,0.1673,0.1653,0.1697,0.1574,0.1163,0.0967,0.0925,0.1192,0.094,0.169,0.133,0.1117,0.146,0.164,0.1647,0.1216,0.1672,0.0958,0.0916,0.1725,0.1049,0.1085,0.163,0.1713,0.1743,0.1405,0.1553,0.1126,0.1296,0.0957,0.0907
4795.085,30,0.1722,0.175,0.0989,0.1639,0.1644,0.1319,0.1912,0.1463,0.1546,0.1601,0.1723,0.0947,0.1863,0.0972,0.1751,0.1508,0.1076,0.1755,0.1768,0.0984,0.1313,0.1691,0.1092,0.1015,0.1621,0.1889,0.1733,0.1494,0.1437,0.1627,0.0977,0.1017,0.1738,0.1382,0.1175,0.0975,0.1562,0.1607,0.1194,0.1793,0.1641,0.1755,0.1289,0.1897,0.1506,0.123,0.1637,0.1014,0.1329,0.1798,0.1755,0.1625,0.1341,0.1339,0.1611,0.1746,0.1148,0.1726,0.0976,0.0908,0.1407,0.1252,0.1749,0.1762,0.183,0.1824,0.1798,0.1843,0.1666,0.1188,0.0962,0.0916,0.1201,0.0937,0.1839,0.1404,0.1133,0.1542,0.1747,0.1784,0.1237,0.1808,0.0953,0.0914,0.1845,0.1057,0.1103,0.1771,0.1855,0.1874,0.149,0.1677,0.1134,0.134,0.0953,0.0903
5995.01,30.1,0.1867,0.1907,0.0989,0.1767,0.178,0.1341,0.208,0.1563,0.1654,0.1721,0.1866,0.0952,0.2026,0.0975,0.189,0.1631,0.1083,0.19,0.1889,0.0986,0.1337,0.1829,0.1106,0.1028,0.1725,0.2048,0.1878,0.1594,0.1516,0.174,0.0984,0.1028,0.1887,0.1475,0.1205,0.0986,0.17,0.1759,0.1243,0.1976,0.1787,0.1922,0.1363,0.2087,0.161,0.127,0.1756,0.1026,0.1387,0.1987,0.1932,0.1765,0.1449,0.1399,0.1758,0.1909,0.1172,0.1881,0.098,0.0912,0.1509,0.1224,0.1893,0.1928,0.2004,0.198,0.1952,0.2012,0.1782,0.1217,0.0962,0.0913,0.1219,0.0927,0.2027,0.1479,0.1145,0.1648,0.1889,0.1948,0.1259,0.1951,0.0949,0.0912,0.2003,0.1075,0.1122,0.1882,0.2014,0.2048,0.1586,0.1801,0.1154,0.1407,0.0951,0.0905
7194.946,30.1,0.2043,0.2082,0.0988,0.1924,0.1928,0.1367,0.2266,0.1695,0.1777,0.1851,0.2014,0.0953,0.2205,0.0979,0.204,0.1765,0.1088,0.2073,0.2053,0.0988,0.137,0.1954,0.112,0.1018,0.1853,0.2218,0.2021,0.1697,0.1595,0.1872,0.0986,0.1031,0.2042,0.1566,0.1218,0.0988,0.184,0.1903,0.1279,0.2168,0.193,0.2109,0.1429,0.227,0.1708,0.1292,0.1897,0.1025,0.1432,0.2167,0.2107,0.1899,0.1548,0.1454,0.1916,0.208,0.1201,0.2063,0.099,0.0928,0.162,0.1248,0.2068,0.2113,0.219,0.2168,0.2124,0.2206,0.1922,0.1268,0.0961,0.0925,0.1252,0.0929,0.2224,0.158,0.1166,0.1759,0.2038,0.2116,0.1281,0.2124,0.0945,0.0914,0.2166,0.1083,0.1157,0.2063,0.2187,0.2232,0.1699,0.196,0.1174,0.1469,0.0947,0.0905
8394.861,30.1,0.2231,0.2265,0.0989,0.2092,0.2082,0.1391,0.2458,0.1785,0.192,0.1995,0.2184,0.0954,0.2407,0.0978,0.2202,0.1903,0.1123,0.2246,0.2228,0.0987,0.1387,0.2115,0.1127,0.102,0.1958,0.2411,0.2189,0.1818,0.1688,0.2014,0.0986,0.103,0.2204,0.1657,0.1231,0.0986,0.1986,0.2064,0.13,0.2357,0.2073,0.2302,0.1497,0.2469,0.1818,0.1314,0.2044,0.1023,0.1501,0.2354,0.2288,0.2043,0.1644,0.1505,0.2087,0.2259,0.1221,0.2239,0.099,0.0928,0.1732,0.1273,0.2239,0.2299,0.2381,0.2352,0.2312,0.2395,0.2081,0.1296,0.0959,0.0923,0.1281,0.0929,0.2432,0.1678,0.1184,0.1889,0.2208,0.2294,0.1298,0.2294,0.0942,0.0911,0.2362,0.1093,0.1153,0.2204,0.2378,0.2423,0.1825,0.2123,0.1195,0.154,0.0943,0.0902
9594.792,30.1,0.2434,0.2466,0.0988,0.2277,0.2266,0.1422,0.2684,0.1924,0.2075,0.2144,0.2375,0.0954,0.2633,0.0979,0.2386,0.2064,0.1103,0.2443,0.2406,0.0988,0.1408,0.2281,0.1136,0.1013,0.2117,0.2632,0.237,0.1955,0.1794,0.2152,0.0985,0.1028,0.2387,0.1772,0.1249,0.0987,0.2151,0.224,0.1328,0.2571,0.2223,0.2504,0.1581,0.2684,0.1937,0.134,0.2212,0.1027,0.1509,0.2556,0.2489,0.2214,0.1765,0.1529,0.2265,0.2443,0.1241,0.243,0.0993,0.0936,0.1851,0.1326,0.2433,0.2508,0.2607,0.257,0.2508,0.2612,0.2254,0.1331,0.0955,0.0938,0.1315,0.0925,0.2745,0.1779,0.1201,0.2019,0.2388,0.2489,0.1323,0.2504,0.094,0.091,0.2581,0.1116,0.117,0.2401,0.2594,0.2652,0.1971,0.2323,0.1218,0.1622,0.0943,0.0902
10794.689,30.1,0.2662,0.2686,0.0984,0.2485,0.2469,0.1451,0.2933,0.2074,0.2257,0.2312,0.2597,0.0954,0.2873,0.0976,0.2582,0.2236,0.111,0.2664,0.2614,0.0986,0.1438,0.2467,0.1145,0.1011,0.2262,0.2861,0.2563,0.21,0.1912,0.2313,0.0985,0.1023,0.2573,0.1894,0.1292,0.0988,0.2329,0.2443,0.1357,0.2797,0.2396,0.273,0.167,0.2933,0.2068,0.1358,0.2384,0.102,0.1544,0.281,0.2729,0.2403,0.1899,0.1575,0.247,0.2671,0.1264,0.264,0.099,0.0933,0.1988,0.1328,0.2638,0.2743,0.285,0.281,0.274,0.2852,0.2452,0.1354,0.0939,0.0936,0.1349,0.0932,0.302,0.19,0.1224,0.2175,0.2588,0.2719,0.1345,0.2728,0.0937,0.0912,0.2827,0.1135,0.1186,0.259,0.283,0.2894,0.2132,0.2522,0.1238,0.1718,0.094,0.0903
